TERM,MEANING,PRONOUNCED_AS
ORSAN,organisation de la réponse du système sanitaire,hors-sanne
ORSEC NOVI,organisation de la réponse de sécurité civile nombreuses victimes,hors-sec-novi
PAI,"projet d'accueil individualisé",
PASS,permanences d'accès aux soins de santé ou parcours d’accès spécifique santé,passe
PBH,ponction biopsie hépatique,
PBR,ponction biopsie rénale,
PCEM,premier cycle des études médicales (remplacé par la PACES et le DFGSM en 2011),
PCI,produit de contraste iodé,
PDC,"produit de contraste",
PDL,produit dose x longueur en radiologie,
PDS,prise de sang,
PEAG,pustulose exanthématique aigüe généralisée,
PF,paralysie faciale,
PID,pneumopathie interstitielle diffuse,pidde
PMO,prélèvements multi-organes,
PPE,prophylaxie post-exposition,
PPR,pseudo-polyarthrite rhizomélique,
PPROM,(rupture prématurée des membranes),P-prome
PRADO,programme d'accompagnement du retour à domicile,prado
PSDP,pneumocoque de sensibilité diminuée à la pénicilline,
PSE,pousse-seringue électrique,
PSL,produit sanguin labile,
PTG,prothèse totale du genou,
PTH,prothèse totale de hanche,
PU-PH,professeur des universités – praticien hospitalier,
PUI,pharmacie à usage intérieur,P-U-I;puï
PVL,Penton-Valentine Leucocidine,
PaO2,pression artérielle partielle en oxygène,
QRS,complexe QRS,
QSOFA,Quick Sepsis-related Organ Failure Assessment,Q-sofa
QSP,quantité suffisante pour,
RACS,retour à une activité circulatoire spontanée,racksse
RAI,recherche d'anticorps irréguliers,R-A-I;räye
RCF,rythme cardiaque fœtal,
RCH,rectocolite hémorragique,
RCIU,retard de croissance intra-utérin,
RCT,randomized controlled trial (essai randomisé contrôlé),
RETEX,retour d'expérience,retex
RGO,Reflux gastro oesophagien,
RHD,règles hygiénodiététiques,
RHJ,reflux hépato-jugulaire,
RIPH,recherche impliquant la personne humaine,
RMM,revue de mortalité et de morbidité,
ROR,rougeole-oreillons-rubéole,
ROS,reactive oxygen species (dérivé réactif de l'oxygène),
ROT,réflexe ostéotendineux,R-O-T;rotte
RQTH,reconnaissance de la qualité de travailleur handicapé,
RR,risque relatif,
RS,rythme sinusal,
SA,semaines d'aménorrhée,
SAF,syndrome d'alcoolisation fœtale,saffe
